Nombre;Estilo;Cervecería;Nombre completo;Descripción;ABV;Min IBU;Max IBU;Astringencia;Cuerpo (Body);Alcohol;Amargo (Bitter);Dulce (Sweet);Agrio (Sour);Salado (Salty);Frutas (Fruits);Lupulado (Hoppy);Especias (Spices);Malta (Malty)
Wolters Pilsener;Pilsner - German;Hofbrauhaus Wolters GmbH;Hofbrauhaus Wolters GmbH Wolters Pilsener Premium;Notes:Our distinctive Pilsener beer, well balanced bitterness and easy to drink. Gold in colour, fresh and very digestible.\t;4.9;25;40;17;21;2;38;17;4;4;8;56;4;44
Kulmbacher Edelherb Premium Pils;Pilsner - German;Kulmbacher Brauerei AG;Kulmbacher Brauerei AG Kulmbacher Edelherb Premium Pils;Notes:Our Edelherb is the first Kulmbacher Pils and is brewed according to the original recipe. In memory of the brewing family.\t;4.9;25;40;47;38;8;49;24;10;10;11;99;12;88
Fuller's London Porter;Porter - English;Fuller Smith & Turner PLC;Fuller Smith & Turner PLC Fuller's London Porter;"Notes:Fuller's London Porter is an award-winning example of this historic English style; smooth and creamy with delicious chocolate and coffee flavors derived from the roasted malt.The griffin Brewery is Chiswick, London, has brewing fine ales since 1654.The Fuller, Smith & Turner partnership dating back to 1845, brews an excellent range of award-winning beers, many of which are available in the U.S. including London Pride pale ale and the Old's original ESB.\t";5.4;20;30;12;91;6;50;64;8;0;19;28;9;92
Old Engine Oil Black Ale;Porter - English;Harviestoun Brewery Ltd.;Harviestoun Brewery Ltd. Old Engine Oil;Notes:Legend has it that Old Engine Oil was dedicated to our Head Brewer’s love of classic cars. But it’s the thick, dark, chocolatey viscosity that reveals the real inspiration behind the name.\t;6;20;30;9;130;9;81;85;12;0;16;48;22;154
Bully! Porter;Porter - English;Boulevard Brewing Co.;Boulevard Brewing Co. Bully! Porter;Notes:The intense flavors of dark-roasted malt in Boulevard’s rendition of the classic English porter are perfectly balanced by a generous and complex hop character. Bully! Porter’s robust nature makes it the ideal companion to a variety of foods, from seafood to chocolate.49 IBU\t;6;20;30;10;79;14;47;52;14;1;13;36;14;99
Samuel Adams Honey PorterBoston Beer Company (Samuel Adams);Porter - English;Boston Beer Company (Samuel Adams);Boston Beer Company (Samuel Adams) Samuel Adams Honey Porter;Notes:;5.45;20;30;10;66;19;61;99;13;1;8;44;4;125
People's Porter;Porter - English;Foothills Brewing Company;Foothills Brewing Company People's Porter;Notes:People's Porter is a robust English-style brew with a dark, ruby hue. Complex chocolate, caramel and toffee notes give way to an herbal bitterness, finishing with a pleasant hint of espresso.42 IBU\t;5.8;20;30;13;98;8;82;90;13;0;18;58;1;147
Washington's Porter;Porter - English;Yards Brewing Co.;Yards Brewing Co. General Washington's Tavern Porter;Notes:Formerly General Washington's Tavern PorterDetailed in a letter from the General to his officers during the war, Washington’s recipe employed molasses to aid fermentation and give rich caramel notes to this robust, roasty ale. The recipe reflected his admiration for Philadelphia-style porters, especially those brewed by Robert Hare (whose original brewery stood just blocks from where ours is now). Our Tavern Porter, inspired by Washington’s, is dark, smooth, and complex with just a hint of dried fruit in the finish.\t;7;20;30;13;73;6;56;87;22;0;27;24;13;139
Porter;Porter - English;Mayflower Brewing Company;Mayflower Brewing Company Mayflower Porter;Notes:Taking its cues from “Three Threads”, a bartender’s blend of three distinct ales, Porter became the beer of choice for 18th-century Londoners. Mayflower Porter embraces this history. This complex brew is smooth and full-flavored with notes of roasted coffee beans and bittersweet chocolate that will warm the palate all year long. Mayflower Porter is a rich, complex brew that is smooth and full-flavored. Five varieties of malted barley provide notes of roasted coffee beans and bittersweet chocolate with a hint of smokiness.\t;5.2;20;30;20;90;9;75;53;4;0;3;44;13;135
Old-Style Porter;Porter - English;St. Peter's Brewery Co Ltd;St. Peter's Brewery Co Ltd St. Peter's Old-Style Porter;Notes:A blend of a mature and young ale creates a porter of traditional character that’s dark cherry in colour and complex in taste. Aromas of liquorice, rum, raisin and chocolate with hints of coffee are in abundance in this full-bodied, warming ale.\t;5.1;20;30;9;91;13;59;62;14;0;20;43;19;100
Coffee Porter;Porter - English;Meantime Brewing Company Limited;Meantime Brewing Company Limited Coffee Porter;Notes:Whilst we would not recommend having this at breakfast with your bacon and eggs, our Coffee Beer is made with real coffee and has a caffeine hit to match. The natural flavors of the beans selected and hand roasted by our friends at the Union Coffee Roasters go well with the roast barley in the beer to give a silky-smooth drink with distinct chocolate and vanilla notes.\t;6;20;30;17;75;6;114;44;10;3;7;33;14;174
Zwet.Be;Porter - English;Brouwerij Drie Fonteinen;Brouwerij Drie Fonteinen Zwet.Be;Notes:A porter brewed with lambic yeast.\t;7;20;30;23;53;12;23;35;70;0;33;6;9;67
Santa's Butt;Porter - English;Ridgeway Brewing;Ridgeway Brewing Santa's Butt;Notes:;6;20;30;13;69;18;59;75;14;0;18;46;8;137
London Porter;Porter - English;Meantime Brewing Company Limited;Meantime Brewing Company Limited London Porter;Notes:Porter was the great London beer style of the 18th and 19th centuries, when the city was revered as both the brewing capital and trading hub of the world. Named after the legions of porters in her docks, streets and markets who drank this powerful beer to slake their thirst, Meantime London Porter is a classic interpretation of this complex dark beer style.Wonderful with mature cheese, beef, lamb, or as traditionally served, with oysters.\t;6.5;20;30;10;90;8;48;57;9;0;4;22;13;123
Boxcarr Pumpkin Porter;Porter - English;Starr Hill Brewery;Starr Hill Brewery Box Car Pumpkin Porter;Notes:;5.2;20;30;20;41;8;18;28;7;0;65;13;70;59
Porter;Porter - English;Green Man Brewery;Green Man Brewery Green Man Porter;Notes:Dark, full-bodied, and rich in flavor, Green Man Porter is wonderfully easy to drink. It offers a creamy, smooth mouthfeel and finishes with distinctive chocolate notes. This traditionally crafted, award-winning British-style Porter, like a true rock star, enjoys a legendary following.\t;6;20;30;9;93;10;58;60;10;1;7;43;7;120
Sly Rye Porter;Porter - English;Yazoo Brewing Company;Yazoo Brewing Company Sly Rye Porter;Notes:A rich, chocolaty English Porter with a clean finish. We use the finest floor-malted Maris Otter malts from England, the same malts used for the best single-malt scotch. A portion of malted rye gives a spicy, slightly dry finish.28 IBU\t;5.7;20;30;14;77;6;33;59;9;0;13;25;13;143
Publican Porter (Imperial London Porter);Porter - English;Short's Brewing Company;Short's Brewing Company Short's Publican Porter (Imperial London Porter);Notes:A Robust Porter.\t;9.15;20;30;13;141;29;102;91;15;2;23;52;18;155
Geary's London Porter;Porter - English;D.L. Geary Brewing Company;D.L. Geary Brewing Company Geary's London Style Porter;"Notes:Faithfully recreated by Geary’s, this classic English style has a deep mahogany color and a restrained roasted malt flavor. The result is rich and complex, yet smooth and refreshing. Original gravity - 1045; alcohol by volume - 4.2%; two row English malt (pale, crystal, chocolate and black); Cascade, Willamette and Golding hops.\t";4.2;20;30;14;90;7;82;48;4;0;5;42;11;119
Original Flag Porter;Porter - English;Darwin Brewery Ltd.;Darwin Brewery Ltd. Original Flag Porter;Notes:;5;20;30;15;84;8;55;65;15;0;19;35;9;119
Black Duck Porter;Porter - English;Greenport Harbor Brewing Company;Greenport Harbor Brewing Company Black Duck Porter;Notes:A black ale that puts the flavor of the malt front and center. It has a mild hop character that balances strong notes of cocoa and hints of coffee. A full-bodied roasty treat that finishes dry. Pairs well with chocolate, BBQ, as well as fresh shellfish.\t;4.7;20;30;14;85;7;78;62;11;0;13;49;13;110
Kennebunkport Porter;Porter - English;Federal Jack's Restaurant & Brew Pub;Federal Jack's Restaurant & Brew Pub Kennebunkport Porter;Notes:;5.6;20;30;19;47;6;47;32;7;0;8;32;4;63
Contorter;Porter - English;Ale Asylum;Ale Asylum Contorter;Notes:Our porter is dark in color yet soft on the palate. English chocolate malts give it a complex, rich flavor wrapped in a silky smooth finish.\t;4.8;20;30;12;117;6;65;61;2;0;1;25;5;125
Entire Butt English Porter;Porter - English;Salopian Brewing Company Ltd;Salopian Brewing Company Ltd Entire Butt English Porter;Notes:Historically the term used to describe a porter blended from a variety of ales, entire butt uses 14 different malts and 3 hops to recreate this forgotten style of porter. The beer is black/brown with a crisp white head and is distinctly vinuous. It has little hop character as essentially the flavour is derived from the malts. Malts used: pale Maris Otter, lager, wheat, pale crystal, dark crystal, dark chocolate, pale chocolate, black, roasted barley, caramalt, torrified wheat, amber malt, brown malt and malted oats.\t;4.8;20;30;20;100;6;85;117;26;0;32;52;21;199
Porter;Porter - English;St. George Brewing Company, The;St. George Brewing Company, The Porter;Notes:;5;20;30;10;74;12;55;62;5;0;5;35;6;113
Benchwarmer Porter;Porter - English;Cooperstown Brewing Company;Cooperstown Brewing Company Benchwarmer Porter;Notes:;6.3;20;30;19;64;13;55;65;27;0;28;29;6;92
Black Wych;Porter - English;Wychwood Brewery Company Ltd;Wychwood Brewery Company Ltd Black Wych;Notes:BLACK WYCH A Dark Mysterious Spellbinding PorterBLACK WYCH spellbinding porter , The Black Wych has cast her spell , start with a measure of alluring rich dark malt & allow the bitterness to creep in. This silkily smooth porter is a force to be reckoned with.Brewed primarily for export.\t;5;20;30;15;54;5;45;51;13;0;18;26;11;77
Vanilla Porter;Porter - English;Mill Street Brew Pub;Mill Street Brew Pub Mill Street Vanilla Porter;Notes:;5;20;30;3;76;11;34;45;10;0;10;24;51;72
Old Growler;Porter - English;Nethergate Brewery Co. Ltd.;Nethergate Brewery Co. Ltd. Old Growler;Notes:;5.5;20;30;10;82;14;60;59;22;0;31;31;13;141
Longfellow;Porter - English;Shipyard Brewing Co.;Shipyard Brewing Co. Longfellow Winter Ale;Notes:;5.8;20;30;16;74;13;66;96;24;2;21;43;34;125
Rickard's Dark;Porter - English;Molson Coors Canada;Molson Coors Canada Rickard's Dark;Notes:Brewed in the style of English porters, Rickard's Dark is creamy with a smooth finish that holds just a hint of pure Quebec maple syrup.\t;4.8;20;30;10;57;6;31;98;10;0;12;17;5;106
Shoo-Fly Pie Porter;Porter - English;Lancaster Brewing Company;Lancaster Brewing Company Porter;Notes:Made with eight different malts, four types of hops and a touch of Lancaster County molasses, this tasty brew has a rich brown hue with a medium to full body flavor.\t;6.2;20;30;9;86;15;69;72;3;0;4;23;33;137
Duke Of Winship;Porter - English;Middle Ages Brewing Co., Ltd.;Middle Ages Brewing Co., Ltd. Duke Of Winship;"Notes:""Scotch Porter""A sensual dark brew with the softness of a Scotch ale crafted with the malt make-up of an English porter.\t";6.5;20;30;23;92;34;50;95;26;0;22;39;25;152
Midnight Sun;Porter - English;Williams Brothers Brewing Company;Williams Brothers Brewing Company Midnight Sun;Notes:;5.6;20;30;25;77;16;45;74;23;0;35;36;30;99
Longboat Chocolate Porter;Porter - English;Phillips Brewing Company;Phillips Brewing Company Longboat Double Chocolate Porter;Notes:Classic Pairings in History: Stevie Wonder & Paul McCartney Super Dave Osborne & Mr. Fuji Cheddar cheese & pickles Bob & Doug McKenzie Mork & Mindy Bonnie & Clyde Chocolate & Beer!!! We'd say that Longboat is a classic chocolate porter, but lets face it, who's ever heard of a chocolate porter? It is, however, a rich dark ale, with a distinctive chocolate finish. Comes in a 650mL bottle, cause 341mL just isn't enough!\t;5.2;20;30;17;152;4;53;114;10;0;12;18;15;165
Busted Knuckle Ale;Porter - English;Big Woods Brewing Co.;Big Woods Brewing Co. Busted Knuckle Red Ale;Notes:This is our signature ale. Busted Knuckle is a hybrid ale, most similar to a “light” porter. We say “light” because, while it does have complexity, it is also a very smooth and approachable beer.\t;7.2;20;30;2;73;11;45;63;15;0;19;29;16;89
Old Slug Porter;Porter - English;RCH Brewery;RCH Brewery Old Slug Porter;Notes:In the old brewery we had a problem with slugs getting into the brewery. As the beer leaves a trail down the glass as you drink it like a slug, that's how the beer was named. A delicious traditional porter with a full bodied taste of chocolate, coffee, blackcurrant and black cherry with a good aroma. A near black colour with a good white head when served through a tight sparkler.\t;4.5;20;30;18;117;14;60;75;27;0;33;29;10;127
Pigs Ass Porter;Porter - English;Harvest Moon Brewery;Harvest Moon Brewery Pigs Ass Porter;Notes:First brewed by Harvest Moon in 1997, this beer is a multiple award-winning dark ale brewed in the Burton, England style owing to the similarity of water chemistry in Belt compared to this classic porter producing area in England. Plenty of body without a sharp bite, this ale is brewed with pale, caramel, chocolate and black malts to create a creamy, smooth, roasted, slightly chocolate tasting ale with a touch of hops in the finish. This ale can be enjoyed in every season and is best when served cool, not cold. And why the name? While drinking this new brew one evening back in 1997, the local hog farmer showed up to collect our spent mash and we that what could be better for fattening pigs?\t;5.7;20;30;7;88;8;29;60;5;0;4;17;14;105
Anvil Porter;Porter - English;French Broad Brewing Co.;French Broad Brewing Co. Anvil Porter;Notes:;6;20;30;14;94;9;67;81;8;0;2;23;6;133
Pumking;Pumpkin Beer;Southern Tier Brewing Company;Southern Tier Brewing Company Pumking;Notes:19 Degrees Plato8.8 Degrees L2-row Pale MaltCaramel MaltPureed PumpkinKettle Hops: MagnumAroma Hops: Sterling\t;8.6;5;70;6;24;16;17;20;7;3;65;20;51;47
Punkin Ale;Pumpkin Beer;Dogfish Head Brewery;Dogfish Head Brewery Punkin Ale;Notes:Also known as Punkin Brown AleA full-bodied brown ale with smooth hints of pumpkin and brown sugar. We brew our Punkin Ale with pumpkin meat, brown sugar and spices. As the season cools, this is the perfect beer to warm up with.Punkin Ale is named after the seriously off-centered southern Delaware extravaganza Punkin Chunkin (check out some of these Discovery Channel videos of Punkin Chunkin, you gotta see it to believe it!). In fact, Punkin Ale made its debut as it claimed first prize in the 1994 Punkin Chunkin Recipe Contest. Yes, that was a full 6 months before we even opened our doors for business! 28 IBU\t;7;5;70;13;44;16;11;51;13;0;78;18;71;50
Pumpkinhead Ale;Pumpkin Beer;Shipyard Brewing Co.;Shipyard Brewing Co. Pumpkinhead Ale;Notes:Pumpkinhead is a crisp, refreshing wheat ale with delightful aromatics and subtle spice flavor. To celebrate the fall season, we enhance the pumpkin flavor with a proprietary blend of spices including cinnamon and nutmeg.A proper pint of Pumpkinhead is served in a pint glass rimmed with sugar and cinnamon and often accompanied by a shot of spiced rum or vanilla vodka.\t;4.5;5;70;19;26;11;15;28;20;1;117;16;100;58
Imperial Pumpkin Ale;Pumpkin Beer;Weyerbacher Brewing Co.;Weyerbacher Brewing Co. Imperial Pumpkin Ale;Notes:We set out to make a bold monument for The King of the Pumpkins!This 8.0% ABV pumpkin ale is the mother of all pumpkin ales. It is heartier, spicier and more “caramelly” and “pumpkiny” than its faint brethren! We have added lots of pumpkin along with cinnamon, nutmeg and a touch of cardamom and clove, giving this beer a spicy, full-bodied flavor.This truly is an Imperial Pumpkin Ale. Perfect finisher on a cool autumn night or match it up with a slice of pumpkin pie and fresh whipped cream.\t;8;5;70;7;42;25;10;44;12;0;95;9;138;48
Samuel Adams Harvest Pumpkin AleBoston Beer Company (Samuel Adams);Pumpkin Beer;Boston Beer Company (Samuel Adams);Boston Beer Company (Samuel Adams) Samuel Adams Harvest Pumpkin Ale;Notes:Brought back in 2010\t;5.7;5;70;4;14;5;8;22;12;0;86;13;39;27
Post Road Pumpkin Ale;Pumpkin Beer;Brooklyn Brewery;Brooklyn Brewery Post Road Pumpkin Ale;Notes:Early American colonialists, seeking natural ingredients for brewing ales, turned to pumpkins, which were plentiful, flavorful and nutritious. Blended with barley malt, pumpkins became a commonly used beer ingredient. Post Road Pumpkin Ale brings back this tasty tradition. Hundreds of pounds of pumpkins are blended into the mash of each batch, creating a beer with an orange amber color, warm pumpkin aroma, biscuity malt center, and crisp finish.\t;5;5;70;16;23;11;13;16;15;1;93;16;66;46
Pumpkin Ale;Pumpkin Beer;Smuttynose Brewing Company;Smuttynose Brewing Company Smuttynose Pumpkin Ale;Notes:Smuttynose Pumpkin Ale is our homage to the craft and heritage of America’s brewers. Recipes calling for the use of pumpkins in beer date back to early colonial times, when brewers sought to extend their supply of costly imported malt with locally grown ingredients, such as squash and “pompions.”In that spirit, we brew our ale with the addition of pumpkin to the mash, along with traditional spices to create a delicious American original.45 IBU\t;5.9;5;70;13;23;4;29;33;24;2;96;36;78;37
Pugsley's Signature Series: Smashed Pumpkin;Pumpkin Beer;Shipyard Brewing Co.;Shipyard Brewing Co. Shipyard Smashed Pumpkin (Pugsley's Signature Series);Notes:A big-bodied beer with a light coppery orange color and pleasing aromas of pumpkin and nutmeg.\t;9;5;70;9;37;48;8;42;17;1;77;16;61;51
Ichabod Ale;Pumpkin Beer;New Holland Brewing Company;New Holland Brewing Company New Holland Ichabod Ale;Notes:;4.5;5;70;10;33;6;10;33;14;2;80;19;86;49
Rumpkin;Pumpkin Beer;Avery Brewing Company;Avery Brewing Company Rumpkin;Notes:We wondered what would happen if a monstrous pumpkin ale, plump full of spicy gourdiness, were aged in fine fresh rum barrels to add suggestions of delicate oak and candied molasses. Rumpkin is what happened! This first member of the Annual Barrel-Aged Series was brewed with roasted pumpkins from a local Boulder County farm, and spiced with nutmeg, cinnamon, and ginger.\t;16.3;5;70;7;40;78;13;83;11;0;72;5;79;53
